en,de
side,Seite
buy,kaufen
possible,möglich
get,bekommen
work,Arbeit
area,Bereich
place,Ort
room,Raum
rose,Rose
gold,gold
adapter,adapter
soon,bald
?,?
fit,passen
rose,rose
version,Version
nexus,nexus
function,funktionieren
hey,hey
wire,wire
hide,hide
alcohol,alcohol
pink,rosa
golden,goldene
Galaxy,Galaxy
use,nutzen
give,geben
need,Brauchst
powerful,mächtigen
computer,Computer
Has,Hat
the,das
port,port
or,oder
the,die
glasses,Brille
this,diese
How,Wie
much,viel
Has,hat
Gives,Gibt
it,es
Duty,Duty
VR,VR
Call,Call
of,of
beautiful,schon
For,für
Where,Wo
become,werden
she,sie
produced,produziert
country,country
weighs,wiegt
mat,Matte
